FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
Otu000001	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000003	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000004	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
Otu000005	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu000006	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Otu000007	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000008	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Otu000009	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000010	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000011	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000012	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000013	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000014	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000015	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu000016	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2
Otu000017	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000018	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000019	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu000020	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu000021	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000022	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000023	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
Otu000024	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000025	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000026	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Otu000027	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium_XI
Otu000028	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified
Otu000029	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000030	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000031	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu000032	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000033	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000034	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000035	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu000036	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000037	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified
Otu000038	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Otu000039	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000040	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu000041	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000042	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium_XI
Otu000043	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
Otu000044	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000045	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2
Otu000046	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000047	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000048	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
Otu000049	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu000050	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000051	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000052	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000053	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000054	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000055	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000056	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000057	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000058	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unclassified
Otu000059	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000060	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000061	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000062	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Otu000063	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Otu000064	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000065	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000066	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
Otu000067	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Otu000068	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000069	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu0000	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000071	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000072	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000073	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	unclassified
Otu000074	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu000075	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000076	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000077	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000078	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified
Otu000079	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium_XI
Otu000080	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu000081	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
Otu000082	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu000083	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000084	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000085	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000086	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000087	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000088	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000089	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified
Otu000090	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
Otu000091	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Otu000092	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000093	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu000094	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000095	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Otu000096	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000097	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000098	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Otu000099	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
Otu000100	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000101	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Otu000103	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000105	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Otu000106	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000107	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII
Otu000108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000109	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000110	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Enterorhabdus
Otu000111	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Otu000112	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000114	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000115	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000116	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu000117	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000119	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000120	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000121	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000122	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000123	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Otu000124	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu000127	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Otu000128	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000129	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000130	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	unclassified
Otu000131	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000132	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000133	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
Otu000134	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
Otu000135	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000137	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu000138	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000139	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000140	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000141	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000142	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
Otu000144	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000145	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Otu000146	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000147	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb
Otu000148	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000149	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000150	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000151	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu000152	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII
Otu000153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000155	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	unclassified
Otu000156	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
Otu000157	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu000158	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified
Otu000159	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000160	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000161	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000162	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
Otu000163	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000164	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000165	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu000166	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000167	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000168	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000169	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu0001	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb
Otu000171	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000172	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
Otu000173	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000175	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Otu000176	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
Otu000177	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor
Otu000178	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000179	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu000180	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000181	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000182	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000183	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	unclassified
Otu000184	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000185	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000186	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000187	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000188	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Otu000189	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000190	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter
Otu000191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu000192	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000193	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu000194	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas
Otu000195	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000196	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000197	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
Otu000198	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Otu000199	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII	Mogibacterium
Otu000200	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	unclassified
Otu000201	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000202	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000203	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000204	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000205	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000206	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu000207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu000208	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu000209	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000210	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000211	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000212	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000213	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000214	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000215	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000216	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000217	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu000218	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000219	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000220	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu000221	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000222	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000223	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000224	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae_1	Peptococcus
Otu000225	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000226	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
Otu000227	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus
Otu000228	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000229	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu000230	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu000231	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000232	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Otu000233	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000234	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000235	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000236	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	unclassified
Otu000237	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu000238	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000239	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000240	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000241	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu000242	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Otu000243	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000244	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000245	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu000246	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu000247	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000248	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia
Otu000249	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu000250	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000251	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium_XI
Otu000252	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu000253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000254	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000255	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified
Otu000256	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified
Otu000257	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000258	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Otu000259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella
Otu000260	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Otu000261	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Otu000262	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000263	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Otu000264	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Otu000265	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000266	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
Otu000267	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Otu000268	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu000269	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu0002	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
Otu000271	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu000272	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
Otu000273	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified
Otu000274	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu000275	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu000276	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu000278	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb
Otu000279	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Otu000280	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified
Otu000281	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Parvimonas
Otu000282	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu000283	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu000284	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
